Tag,Class,Description,Category,Keywords
Dashboard,Skill,Build dashboards containing meaningful visuals with multiple data sources.,Dashboard,"Tableau, Power BI, Microsoft Excel, Dashboard, Power Query, Qlik"
Data Analysis,Skill,Work with large data sets.,Data Analysis,"Data Analysis, Influencer, Transferrable Skills Across Occupations, Change Manager"
Data Analysis And Display (DADiSP),Skill,Analyze relationships in data using statistical software.,Data Analysis And Display (DADiSP),"Excel, SAP, SAS, Microsoft Dynamics, Oracle Peoplesoft, SQL, Microsoft Access, NetSuite ERP, Teradata Database, Python, R, JMP, Amazon Redshift, Minitab, Data Analysis And Display (DADiSP), SPSS, Hadoop, MySQL, MongoDB, Oracle PL/SQL, Oracle JDBC, Transact-SQL, Apache Groovy, C#, Scala, Apache Tomcat, Django, JavaScript, Microsoft ASP.NET"
Data Architecture,Skill,Design database applications interfaces for access of the generic database structure.,Data Architecture,Data Architecture
Data Centers,Skill,Maintain a list of servers that are in a data center.,Data Centers,Data Centers
Data Collection,Skill,"Use methods for data collection for the gathering, measurement, evaluation, validation, and communication of information.",Data Collection,"GeneralEducation2019, Instructional Design, Data Collection"
Data Duplication,Skill,Obtain digital information images as necessary for a forensic data duplication investigation.,Data Duplication,"Kali Linux, BSCSIA201901 Cybersecurity, Data Duplication, USB Forensics: Duplication, Access Data FTK, Forensic Duplication"
Data Engineering,Skill,"Create data set processes for modeling, mining, acquisition, and verification.",Data Engineering,"Visual Studio, Data Engineering, Azure ML Studio"
Data Entry,Skill,Validate data entered into systems.,Data Entry,Data Entry
Data Integrity,Skill,Evaluate a system's data integrity.,Data Integrity,Data Integrity
Data Intelligence,Skill,Validate law enforcement investigative leads with data intelligence.,Data Intelligence,Data Intelligence
Data Libraries,Skill,Maintain part of the development life cycle.,Data Libraries,Data Libraries
Data Literacy,Skill,Visualize data.,Data Literacy,"Foundational Literacies, Data Literacy"
Data Management,Skill,"Implement policies and systems to control data ingress and egress, security, storage, and growth.",Data Management,"Data Management, Data Breach"
Data Manipulation Language,Skill,"Create data manipulation language (DML) statements to insert, update, and remove data.",Data Manipulation Language,"Data Manipulation Language, Data Manipulation Language (DML)"
Data Mining,Skill,Test hypotheses of product or service messaging against patterns identified in data sets.,Data Mining,"Tableau, Salesforce, Microsoft Dynamics, Google Analytics, Data Mining, Marketo, HubSpot, Databricks"
Data Modeling,Skill,Troubleshoot data modeling issues.,Data Modeling,"Data Modeling, Systems Engineers"
Data Normalization,Skill,Eliminate fields from a table that do not depend on the primary key.,Data Normalization,Data Normalization
Data Pipeline,Skill,Implement software pipelines to complete computing processes in parallel.,Data Pipeline,"Visual Studio, Data Pipeline"
Data Presentation,Skill,Explore data using data visualizations.,Data Presentation,"GeneralEducation2019, Data Analysis, Data Presentation"
Data Processing,Skill,Validate data.,Data Processing,"Microsoft Access, Data Processing, FileMaker Pro, IBM Informix, Data processing software Hot technology"
Data Quality,Skill,Perform risk analysis for data quality issues.,Data Quality,"Microsoft Excel, Google Sheets, Data Quality"
Data Science,Skill,Identify the necessary data to solve a problem.,Data Science,Data Science
Data Security,Skill,Stay up-to-date on data security trends and developments.,Data Security,"Data Security, Systems Engineers"
Data Structures,Skill,Create a data structure that is based on usage.,Data Structures,Data Structures
Data Visualization,Skill,Identify techniques to create more dimensions in a visualization.,Data Visualization,"Cognos, Tableau, Power BI, Data Visualization"
Data Warehouse Architectures,Skill,Create conceptual and physical data warehouse models for an organization.,Data Warehouse Architectures,"Oracle, Database Management Systems, Teradata, Cloudera, Database Management Systems (DBMS), Data Warehouse Architectures, Amazon Web Services, MarkLog, DBMS, Data Warehouse"
Data Warehousing,Skill,Transform data to optimize storage within a data warehouse.,Data Warehousing,"Data Warehousing, Amazon Redshift, Teradata, Oracle 12c, Informatica, IBM Infosphere, Ab Initio, ParAccel, Cloudera, Analytix DS, MarkLogic, Panoply"
Data-Driven Decision-Making,Skill,Use statistical techniques to analyze data.,Data-Driven Decision-Making,"Transferrable Skills Across Occupations, Transferrable Skills for Leaders, Data-Driven Decision-Making"
Data/Record Logging,Skill,Maintain accurate records for students with exceptionalities.,Data/Record Logging,"Data/Record Logging, Record Keeping"
Database Administration,Skill,Develop representational state transfer (REST) endpoints that retrieve data from a database or data storage and performs data manipulation for back end development.,Database Administration,"Database Administration, Back End Development"
Database Application,Skill,View tables in a database.,Database Application,"MySQL Workbench, SQL Server Management Studio, Database Application, Azure Data Studio, Oracle Enterprise Manager"
Database Design,Skill,Design joins for data relationships.,Database Design,Database Design
Database Management Systems,Skill,"Test data entities, security policies, and data recovery policies for Microsoft SQL Server.",Database Management Systems,"Database Management Systems, Database Management Systems (DBMS), Database Management System (DBS), Azure Data Studio, SQL Server Management Studio software, SQL Server Data Tools, Visual Studio Code."
Database Security,Skill,Apply multi-factor authentication.,Database Security,Database Security
Database Systems,Skill,Write SQL scripts for validating data in a database.,Database Systems,Database Systems
De-escalation Techniques,Skill,Establish scene safety before engaging in de-escalation.,De-escalation Techniques,De-escalation Techniques
Debugging,Skill,Validate the results of application changes made from debugging.,Debugging,debugging
Decision Making,Skill,Select ventilator settings based on a patient's condition.,Decision Making,"Decision Making, ventilator, ventilation"
Decisiveness,Skill,Weigh all options and make the best decision for the situation.,Decisiveness,"Transferrable Skills Across Occupations, Transferrable Skills for Leaders, Professional Development and Career Management, Decisiveness"
Deductive Reasoning,Skill,Accept approaches to work based on established premises.,Deductive Reasoning,"MEDLT201504, MSSP201504, MEDID201504, Instructional Design, Deductive Reasoning"
Deep Learning,Skill,Describe the advantages of using a graphics processing unit (GPU).,Deep Learning,Deep Learning
Defense In Depth,Skill,Implement segmented communication pathways within the organization.,Defense In Depth,"Security Architecture and Design: The Big Picture, Defense In Depth"
Defensive Driving,Skill,Respond to roadway hazards when driving a squad car to avoid collision.,Defensive Driving,Defensive Driving
Defensive Tactics,Skill,Explain when defensive tactics and techniques can be used against resistive or violent law violators.,Defensive Tactics,Defensive Tactics
Dementia Care,Skill,Teach family members how to treat patients with memory impairment with dignity.,Dementia Care,Dementia Care
Dental Examinations,Skill,"Assess the condition of an individual's mouth, teeth, and gums visually.",Dental Examinations,Dental Examinations
Dental Materials,Skill,Select the dental materials required for a restorative procedure.,Dental Materials,Dental Materials
Dental Surgery,Skill,Analyze treatment plans for dental surgery.,Dental Surgery,"Dental Surgery, treatment plan"
Dental Technology,Skill,Identify the materials needed to create a dental appliance.,Dental Technology,Dental Technology
Dentistry,Skill,Provide chairside assistance to dentists during dental procedures.,Dentistry,"American Dental Association, Dentistry"
Dentures,Skill,Create dental prosthetics based on oral molds.,Dentures,Dentures
Department of Defense (DoD) 8500 Series,Skill,Monitor appropriate security controls for each Mission Assurance Category (MAC) system.,Department of Defense (DoD) 8500 Series,Department of Defense (DoD) 8500 Series
Depth Perception,Skill,Maintain appropriate distance between oneself and a patient.,Depth Perception,"Awareness, Depth Perception, Spatial Distance, Body Positioning"
Dermatology,Skill,Prescribe a treatment plan to address a skin condition.,Dermatology,"Dermatology, treatment"
Design Thinking,Skill,Empathize with learners.,Design Thinking,"Computer Literacy, Innovation, Creativity, Application Development, Apple IOS, Android (Operating System), Design Thinking, Computer Sciences"
Design Tool,Skill,Apply knowledge of design principles and best practices to create visually cohesive and aesthetically pleasing designs using digital tools.,Design Tool,
Design of Experiments,Skill,Manage process inputs to optimize the output.,Design of Experiments,"Design of Experiments, Design of Experiments (DOE)"
Desktop Support,Skill,Resolve computer software and hardware problems for end users.,Desktop Support,Desktop Support
Detail Oriented,Skill,Complete work tasks thoroughly and accurately.,Detail Oriented,Detail Oriented
Detailed Oriented,Skill,Maintain accurate and detailed logs of system activity and performance.,Detailed Oriented,"Systems Engineer, Detailed Oriented"
DevOps,Skill,Collaborate with developers throughout the software development lifecycle.,DevOps,DevOps
DevSecOps,Skill,Evaluate compliance with security policies and procedures.,DevSecOps,"IaaS, DevSecOps, Securing Cloud DevOps in PaaS, and SaaS Settings"
Diagnostic Skills,Skill,Interpret lab values for a treatment plan determination.,Diagnostic Skills,"treatment plan, Diagnostic Skills"
Diagnostic Tests,Skill,Describe the indications for thoracentesis based on a chest X-ray.,Diagnostic Tests,"Diagnostic Tests, Thoracentesis, chest tube, pleural effusion"
Dialysis,Skill,Teach a patient about dialysis treatments.,Dialysis,"Dialysis, patient education"
Differentiated Instruction,Skill,Implement a variety of teaching strategies to address adult learners' differing abilities.,Differentiated Instruction,Differentiated Instruction
Digital Arts,Skill,Create digital illustrations.,Digital Arts,"Digital Arts, Influencer"
Digital Citizenship,Skill,Use social media responsibly.,Digital Citizenship,"Transferrable Skills Across Occupations, Digital Citizenship, Healthy Learning Strategies, TC Disposition 6"
Digital Communications,Skill,Use a word processing program to create and edit documents.,Digital Communications,"Influencer, Digital Communications"
Digital Data,Skill,Implement proper data storage mechanisms for specific types of files or data.,Digital Data,"Digital Data Storage, Digital Data"
Digital Fluency,Skill,Incorporate multimedia components into communication in a way that supports the message.,Digital Fluency,"21st Century Skills, Doing, GeneralEducation2019, Computer Literacy, GE Framework, Presentations, Microsoft PowerPoint, Microsoft Excel, Microsoft Word, Microsoft Outlook, Spreadsheets, Microsoft Office, Microsoft Visio, Digital Fluency, Digital Arts, Digital Content, Digital Design, Digital Media, Digital Productions, Digital Storytelling, Information Technology, Microsoft Windows, Application Development, Computer Science, Apple IOS, Android (Operating System), Personal Computers, Word Processor, Typing"
Digital Forensics,Skill,Apply forensic tools to obtain data from a computer's file system.,Digital Forensics,"Kali Linux, Digital Forensics, Digital Forensics: Getting Started with File Systems, File System Forensics"
Digital Imaging,Skill,Create photo arrays with digital imaging.,Digital Imaging,Digital Imaging
Digital Literacy,Skill,Use digital technology to curate information.,Digital Literacy,"Digital Literacy, Foundational Literacies"
Digital Marketing,Skill,Use A/B testing and other conversion optimization tactics to increase website conversions.,Digital Marketing,"Digital Marketing, Influencer"
Digital Marketing Analytics,Skill,Monitor social media performance through digital marketing analytics.,Digital Marketing Analytics,"Analysis, Social Media, Marketing, Digital Marketing, Online Marketing, Digital Marketing Analytics, Analytics"
Digital Prototyping,Skill,Incorporate user feedback into iterative design cycles for digital prototypes.,Digital Prototyping,
Digital Sales,Skill,Oversee the sales relationships of the sales force and the customers.,Digital Sales,"Sales, Digital Sales, e-commerce"
Digital Storytelling,Skill,Use digital tools to create a multimedia story.,Digital Storytelling,"Digital Storytelling, Influencer"
Digital Transformation,Skill,Manage digital transformation projects.,Digital Transformation,"Digital Transformation, Transferrable Skills for Leaders"
Disabilities,Skill,Implement relevant and necessary accommodations in the workplace for individuals with disabilities.,Disabilities,Disabilities
Disability Management,Skill,Implement a return to work (RTW) program for employees with a disability.,Disability Management,"Disability Management, Department or Labor website, Job Accommodation Network (JAN) website"
Disaster Recovery,Skill,Test a disaster recovery plan.,Disaster Recovery,disaster recovery
Disaster Recovery Plan,Skill,Perform a detailed business impact analysis (BIA) for disaster recovery planning.,Disaster Recovery Plan,"Information Systems Security, Disaster Recovery Plan, Disaster Recovery Planning: Step by Step, Disaster Recovery Planning"
Discharge Planning,Skill,Identify the unique social needs of the patient with an interdisciplinary care team.,Discharge Planning,Discharge Planning
Disciplinary Literacy,Skill,Write within a discipline.,Disciplinary Literacy,"Literacy, Foundational Literacies, Disciplinary Literacy"
Disciplinary Procedures,Skill,"Create a safe and productive learning environment that includes norms, expectations, routines, and organizational structures.",Disciplinary Procedures,"Special Education, Educational Leadership, Teaching, Disciplinary Procedures, NGT"
Distributed Database,Skill,Design the architecture of a distributed database.,Distributed Database,"Visual Studio, SQL Server Management Studio, Distributed Database"
Diversity Awareness,Skill,Use privilege to create equity.,Diversity Awareness,"Transferrable Skills Across Occupations, Transferrable Skills for Leaders, Professional Development and Career Management, Diversity Awareness"
Diversity Management,Skill,Promote inclusion of employees from diverse backgrounds into an organization’s structure.,Diversity Management,"Diversity Management, diverse backgrounds, organization structure"
Diversity Strategies,Skill,Value differences in others.,Diversity Strategies,"Transferrable Skills for Leaders, Diversity Strategies"
Diversity and Inclusion,Skill,Implement workplace accommodations.,Diversity and Inclusion,"Diversity, Diversity and Inclusion, Inclusion, workplace, Human Resources, HR, SHRM, DEI, diversity & inclusion, D&I"
DoD Information Assurance Certification and Accreditation Process (DIACAP),Skill,Maintain authority to operate and conduct reviews,DoD Information Assurance Certification and Accreditation Process (DIACAP),"DoD Information Assurance Certification and Accreditation Process (DIACAP), Department of Defense Information Assurance Certification and Accreditation Process (DIACAP)"
Docker (Software),Skill,Configure the Dockerfile path option using the build option.,Docker (Software),Docker (Software)
Document Management Systems,Skill,Establish retention policies and procedures for all electronic and paper business records.,Document Management Systems,"Box, Document Management Systems, Document Management"
Dynamic Host Configuration Protocol (DHCP),Skill,Manage a Dynamic Host Configuration Protocol (DHCP) server.,Dynamic Host Configuration Protocol (DHCP),Dynamic Host Configuration Protocol (DHCP)
Dynamic-Link Libraries,Skill,Maintain dynamic link libraries (DLL) in an organization.,Dynamic-Link Libraries,"Dynamic-Link Libraries, Dynamic-Link Libraries (DLL)"
Early Intervention,Skill,Implement strategies to promote age-appropriate growth for students with exceptionalities during the critical early years.,Early Intervention,Early Intervention
Econometrics,Skill,Forecast future trends in economics from historical data.,Econometrics,Econometrics
Economic Analysis,Skill,Compare the value of the impact created by an intervention with the cost of creating it.,Economic Analysis,Economic Analysis
Economic Development,Skill,"Identify key components of differences in economic productivity between entities (e.g., cities, countries, companies, etc.).",Economic Development,Economic Development
Economic Theories,Skill,Explain different economic viewpoints.,Economic Theories,Economic Theories
Economics,Skill,Identify the monetary cost of scaling a solution to more users.,Economics,Economics
Education Software and Technology,Skill,Resolve content delivery challenges through creative use of various instructional or other technologies.,Education Software and Technology,"Innovation, Resolution, technology, Technology Savvy, Delivery Challenges, Instructional Technology"
Education Theories,Skill,Connect student support models to educational program models.,Education Theories,"Education Theories, Education Model, Competency-basedEducation:ProgramDesign2019, Student Support Model"
Educational Assessment,Skill,Use practice assessments to support growth in the content area.,Educational Assessment,"InTASC, Educational Assessment"
Educational Evaluation,Skill,"Identify valid, reliable screening tests for learners.",Educational Evaluation,
Educational Leadership,Skill,Write an educational policy.,Educational Leadership,Educational Leadership
Educational Technologies,Skill,"Implement a lesson that engages students in a range of learning skills and technology tools in which the student will access, interpret, and apply knowledge.",Educational Technologies,"Special Education, Educational Technologies"
Electrical Engineering,Skill,Prepare technical drawings and specifications of electrical systems that conform to standards.,Electrical Engineering,"The MathWorks MATLAB, Minitab, CATIA, Electrical Engineering, Failure mode and effects analysis FMEA software, Powersim PSIM, Autodesk AutoCAD, Schematic design entry software"
Electrical Systems,Skill,Collect data for electrical system operating efficiencies.,Electrical Systems,"Excel, MATLAB, Minitab, AutoCAD, SolidWorks, LabVIEW, Electrical Systems, ProE, ANSYS"
Electrocardiography,Skill,Prepare patient room for electrocardiography (EKG).,Electrocardiography,"EKG, Electrocardiography"
Electromechanics,Skill,"Fabricate mechanical, electrical, or electronic components or assemblies.",Electromechanics,Electromechanics
Electronic Benefits Transfer (EBT),Skill,Communicate with patients and customers regarding their covered benefits with Electronic Benefits Transfer (EBT).,Electronic Benefits Transfer (EBT),"Communicate, Electronic Benefits Transfer (EBT), covered, benefits, EBT"
Electronic Discovery,Skill,Create electronic copies of case file materials.,Electronic Discovery,Electronic Discovery
Electronic Medical Record,Skill,Document treatments administered to a patient during a shift.,Electronic Medical Record,"Electronic Medical Record, Treatments"
Electronic Portfolio,Skill,Organize artifacts in a way that showcases experience and skills.,Electronic Portfolio,
Electronic Systems,Skill,Repair malfunctioning circuitry in an electronic system.,Electronic Systems,"MATLAB, AutoCAD, MicroStation, Visual Basic, LabVIEW, Electronic Systems, Hand tools, power tools, soldering iron, multimeter, root cause analysis software"
Electronics,Skill,Recommend the appropriate power source for given electronic design requirements.,Electronics,Electronics
Email Marketing,Skill,"Develop an email campaign name, email list management, relevant subject, and email content to optimize marketing returns.",Email Marketing,"Marketing, email, Email Marketing"
Emergency Management,Skill,Provide emergency management information to public information liaisons for dissemination.,Emergency Management,Emergency Management
Emergency Medical Services,Skill,Determine the response needed for an individual's medical emergency.,Emergency Medical Services,Emergency Medical Services
Emergency Medicine,Skill,Provide emergency care as part of a multidisciplinary medical team.,Emergency Medicine,"Medical Assistant, Emergency Medicine"
Emotional Intelligence,Skill,Display respect and concern for another's well-being.,Emotional Intelligence,Emotional Intelligence
Emotional Literacy,Skill,Set boundaries around emotions.,Emotional Literacy,"Emotional Intelligence, Foundational Literacies, Emotional Literacy"
Empathy,Skill,Seek to understand all sides of a disagreement.,Empathy,"Character, 21st Century Skills, Empathy, Social Emotional Learning (SEL): General, Social Emotional Learning (SEL): Social Awareness"
Empirical Analysis,Skill,"Implement the research process in thesis development, including identifying the claim, narrowing the scope, and ascertaining the key points of support.",Empirical Analysis,"21st Century Skills, Doing, Data Analysis, GE Framework, Decision Making, Mathematics, Spreadsheets, Empirical Analysis, Empirical Evidence, Noticing Hypothesis, Investigation"
Employee Assistance Programs,Skill,Teach others on the various parts of an employee assistance program.,Employee Assistance Programs,"Health Open Skills, Employee Assistance Programs"
Employee Benefits,Skill,"Determine how changes in conditions, operations, and the environment affects employee benefits.",Employee Benefits,Employee Benefits
Employee Coaching,Skill,Coach others on how to develop organization strategies.,Employee Coaching,"Leadership, Mentoring, Communication, Coaching, Change Leadership"
Employee Engagement,Skill,Train leadership to model behaviors that encourage employees to engage.,Employee Engagement,"Leadership, Training and Development, Training, Employee Engagement, Soft Skills"
Employee Engagement and Retention,Skill,Monitor changes in turnover and retention metrics.,Employee Engagement and Retention,"Human Resources, HR, SHRM, Employee Engagement, People, metrics, Employee Engagement and Retention, Employee Engagement & Retention, Employee Retention"
Employee Onboarding,Skill,Collaborate with appropriate teams to provide orientation training for new individuals.,Employee Onboarding,Employee Onboarding
Employee and Labor Relations,Skill,"Implement workplace policies, handbooks, and codes of conduct.",Employee and Labor Relations,"Human Resources, Labor Relations, HR, SHRM, organization, Employee and Labor Relations, Employee & Labor Relations, Employee Relations, Codes of Conduct, Employee Handbooks"
Empowerment,Skill,Take ownership of work.,Empowerment,"Empowerment, Transferrable Skills Across Occupations, Transferrable Skills for Leaders, Entrepreneur, Professional Development and Career Management"
EnCase (Digital Intelligence Software),Skill,Maintain EnCase in an organization.,EnCase (Digital Intelligence Software),EnCase (Digital Intelligence Software)
Encryption,Skill,Generate a token and decryption key with Token Generator.,Encryption,Encryption
Endodontics,Skill,Explain a recommendation for endodontic treatment with a patient.,Endodontics,Endodontics
Energy Conservation,Skill,Prioritize energy-saving measures based on resources and cost requirements.,Energy Conservation,"SAS, Energy Conservation, RATER, TRACE, AutoCASD, HEED, LEED"
Enforcement,Skill,Apply substantive law in legal enforcement.,Enforcement,Enforcement
Engineering Analysis,Skill,Enforce the scientific method throughout the life cycle of a problem.,Engineering Analysis,"Microsoft Excel, Google Sheets, MATLAB, Engineering Analysis, Engineering Physics"
Engineering Design Process,Skill,Recommend changes to a design based on findings from a project that used the engineering design process.,Engineering Design Process,"Microsoft Excel, Google Sheets, Microsoft Word. Google Docs, Engineering Design Process"
Engineering Drawings,Skill,Create detailed drawings of product designs using computer-aided design (CAD) software.,Engineering Drawings,"CATIA, Autodesk AutoCAD, Engineering Drawings"
Engineering Literacy,Skill,Write reports and proposals to communicate engineering findings and recommendations.,Engineering Literacy,"Engineering Design Process, Foundational Literacies, Engineering Literacy"
Engineering Mathematics,Skill,Apply mathematical methods and techniques required for a given engineering process.,Engineering Mathematics,"GeneralEducation2019, Engineering Mathematics"
English Language,Skill,"Interpret meaning of words, phrases, and expressions in a reading passage.",English Language,English Language
Enhanced Interior Gateway Routing Protocol,Skill,Implement interior gateway traffic routing policies.,Enhanced Interior Gateway Routing Protocol,Enhanced Interior Gateway Routing Protocol
Enrollment Management,Skill,Create prospect-engagement goals for sales teams.,Enrollment Management,"CAS standards, Enrollment Management, Customer relations, marketing goals, prospective customers"
Enterprise Architecture,Skill,Analyze current and emerging technologies that support enterprise architecture.,Enterprise Architecture,Enterprise Architecture
Enterprise Resource Planning,Skill,Define standard operating procedures (SOPs) for business processes.,Enterprise Resource Planning,"SAP, Microsoft Dynamics, Oracle JD Edwards EnterpriseOne, NetSuite ERP, Enterprise Resource Planning"
Enthusiasm,Skill,Communicate about a technology with positivity.,Enthusiasm,Enthusiasm
Entrepreneurship,Skill,Track sales and revenue.,Entrepreneurship,"Transferrable Skills for Leaders, Entrepreneur, Entrepreneurship"
Environmental Compliance,Skill,"Evaluate environmental waste disposal systems for conformance to local, state, or federal regulations.",Environmental Compliance,"MS Office, SharePoint, ERP software, Environmental Compliance"
Environmental Engineering,Skill,Design a water distribution network.,Environmental Engineering,Environmental Engineering
Environmental Health,Skill,Employ toxicology principles to gauge the safety various chemical exposures.,Environmental Health,Environmental Health
Environmental Literacy,Skill,Work collaboratively to find solutions to environmental problems.,Environmental Literacy,"Foundational Literacies, Environmental Literacy"
Environmental Management Systems,Skill,Define environmental management system goals.,Environmental Management Systems,"Excel, Access, MATLAB, LabVIEW, Environmental Management Systems, Environmental Management System (EMS) software, Hazardous materials management (HMS) software, Material safety data sheet (MSDS) software, Site remediation management software, Waste management software"
Environmental Remediation,Skill,"Select the most appropriate remediation technology based on the type of contamination, affected media, and site conditions.",Environmental Remediation,Environmental Remediation
Environmental Resource Management,Skill,Collect pollution samples.,Environmental Resource Management,"Excel, Access, MATLAB, LabVIEW, Hazardous materials management (HMS) software, Material safety data sheet (MSDS) software, Site remediation management software, Waste management software, Environmental Resource Management"
Epidemiology,Skill,Apply GIS and mapping tools to visually represent disease spread.,Epidemiology,Epidemiology
Erosion Control,Skill,Prevent water pollution by controlling sediment erosion.,Erosion Control,Erosion Control
Establishing Trust,Skill,Communicate truthfully when engaging with clients.,Establishing Trust,"Medical Assistant, Establishing Trust"
Ethical Codes,Skill,Apply ethical concepts in working with students with exceptionalities.,Ethical Codes,"Professional Ethics, Doing, Special Education, Ethical Codes"
Ethical Practice,Skill,"Withstand politically motivated pressure when developing or implementing strategy, initiatives, or long-term goals.",Ethical Practice,"Business Ethics, Leadership, Ethics, Integrity, Human Resources, HR, SHRM, Ethical Practice, Professional Integrity"
Ethical Responsibility,Skill,Prioritize user privacy during application development.,Ethical Responsibility,"ethical development, user privacy"
Ethical Standards And Conduct,Skill,Tailor communication to be inclusive.,Ethical Standards And Conduct,
Event Management,Skill,Design a trade show booth based on company brand guidelines.,Event Management,"Microsoft PowerPoint, Microsoft Excel, Microsoft Word, AutoCAD, Adobe Photoshop, Adobe Illustrator, Event Management"
Evidence Collection,Skill,Identify probative physical evidence at a crime scene.,Evidence Collection,Evidence Collection
Evidence-Based Practice,Skill,Teach employees about unconscious bias using evidence-based practice.,Evidence-Based Practice,"Evidence-Based Practice, Training and Development, Teaching, Training, Bias, Learning, teach, employees, Education, practice, evidence-based, Learning and Development, Unconscious Bias"
Executive Functions,Skill,Working independently with little guidance or direction.,Executive Functions,"Transferrable Skills Across Occupations, Transferrable Skills for Leaders, Professional Development and Career Management, Executive Functions"
Executive Presence,Skill,Think and act strategically.,Executive Presence,"Influencer, Transferrable Skills Across Occupations, Transferrable Skills for Leaders, Professional Development and Career Management, Executive Presence"
Experiential Learning,Skill,Use experiences to inform career development and decision-making.,Experiential Learning,"experiential learning, Professional Development and Career Management"
Explanation of Benefits (EOB),Skill,Verify staff understand available benefits.,Explanation of Benefits (EOB),"Explanation of Benefits (EOB), Explanation of Benefits, EOB"
Extensible Markup Language (XML),Skill,Exchange data using web services with Extensible Markup Language (XML).,Extensible Markup Language (XML),"Web Services, XML, SOAP, Extensible Markup Language (XML), XSLT, XML-RPC, REST"
External Auditor,Skill,Determine compliance with the Sarbanes-Oxley Act (SOX).,External Auditor,"External Auditor, External Auditing"
Extract Transform Load (ETL),Skill,"Design an Extract, Transform, Load (ETL) system for scalability.",Extract Transform Load (ETL),Extract Transform Load (ETL)
Eye Examination,Skill,Interpret eye test results for a patient.,Eye Examination,Eye Examination
Fabrication,Skill,Fabricate provisional medical equipment.,Fabrication,"Fabrication, American Dental Assistants Association"
Facility Operations,Skill,"Describe how processes, people, tools, and assets at an organization work together.",Facility Operations,Facility Operations
Faculty Development,Skill,Conduct an assessment to determine faculty training needs.,Faculty Development,"Training and Development, Faculty Development, Training"
Failure Mode and Effects Analysis,Skill,Review components of a process for potential points of failure based on similar components and processes.,Failure Mode and Effects Analysis,"Failure Mode and Effects Analysis, Six Sigma, various FMEA certifications."
Family Educational Rights and Privacy Act,Skill,Assess the processes of keeping and maintaining records for compliance with Family Educational Rights and Privacy Act (FERPA) requirements.,Family Educational Rights and Privacy Act,"records, information, maintenance, data, FERPA"
Family Engagement,Skill,Collaborate with families to develop a plan for learner performance.,Family Engagement,"InTASC, Family Engagement"
Family and Medical Leave Act Of 1993,Skill,Teach employees about Family and Medical Leave Act (FMLA) eligibility requirements.,Family and Medical Leave Act Of 1993,"Health Open Skills, Family and Medical Leave Act of 1993"
Federal Information Processing Standards (FIPS),Skill,Monitor Federal Information Processing Standards (FIPS) compliance in an organization.,Federal Information Processing Standards (FIPS),"Implementing NIST's Risk Management Framework (RMF), Federal Information Processing Standards (FIPS)"
Federal Information Security Management Act,Skill,Determine if Federal Information Security Management Act (FISMA) standards are required in the organization.,Federal Information Security Management Act,"Security Compliance: The Big Picture, Federal Information Security Management Act, Federal Information Security Management Act (FISMA)"
Federal Laws,Skill,Explain pharmacy laws to patients in layperson terms.,Federal Laws,"Federal Laws, patient understanding, law, law interpretation"
Field Service Management,Skill,Update a field service management system.,Field Service Management,Field Service Management
Filing,Skill,Make digital copies of paper documents with a scanner.,Filing,Filing
Finance,Skill,Track financial transactions and ensure compliance with regulations.,Finance,"Finance, Influencer, Change Manager"
Financial Accounting,Skill,Record basic financial transactions and balances in a structured environment to meet a limited need.,Financial Accounting,"Accounting, Finance, Financial Accounting"
Financial Accounting Standards Board,Skill,Identify deferred tax assets and deferred tax liabilities.,Financial Accounting Standards Board,"Financial Accounting Standards Board, Financial Accountability Standards Board (FASB) Certified"
Financial Analysis,Skill,Calculate the metrics associated with the working capital components.,Financial Analysis,"Finance, Financial Analysis, Working Capital"
Financial Auditing,Skill,Perform substantive testing to validate completeness of financial transactions.,Financial Auditing,"Auditing, Microsoft Office Suite, Financial Auditing, Lotus Notes"
Financial Data,Skill,Evaluate financial transactions to identify opportunities to improve profitability.,Financial Data,"Financial Data, Delphi Technology, Oracle E-Business Suite Financials, PRISM, Data Management Software"
Financial Literacy,Skill,Explain the different types of financial products and services available.,Financial Literacy,"Financial Literacy, Foundational Literacies"
Financial Management,Skill,Determine the profitability of an organization by calculating earned revenue versus operational costs of given assets.,Financial Management,"Operations, SAP, Power BI, Microsoft Excel, Financial Management, QuickBooks, NetSuite, Google Sheets, Dynamics 365 Finance, Oracle, Finance, Calculations, Reporting Solutions, SSRS, CrystalReports"
Financial Market,Skill,Develop relationships within the industry and local authorities.,Financial Market,Financial Market
Financial Modeling,Skill,Create financial what-if scenarios that model effects of current economic factors on an organization.,Financial Modeling,"Tableau, Bloomberg, QuickBooks, Sage, Microsoft Office Suite, SAS, Reuters, Financial Modeling"
Financial Planning,Skill,Verify that scarce financial resources are utilized to get maximum returns on investment (ROI).,Financial Planning,Financial Planning
Financial Reporting,Skill,Perform journal entries and reconciliations.,Financial Reporting,"Financial Reporting, Reports"
Financial Services,Skill,Evaluate the service cost for business and customer requirements.,Financial Services,Financial Services
Financial Statement Analysis,Skill,Review  a company's financial statements to make better economic decisions to earn future income.,Financial Statement Analysis,"Analysis, Decision Making, Finance, Financial Statement Analysis, Financial Statement"
Financial Statements,Skill,Identify transactions that require tagging as special items in government-wide financial statements for state and local governments.,Financial Statements,Financial Statements
